name,price,app_id
★ Falchion Knife | Tiger Tooth (Factory New),201.64,730
★ Moto Gloves | Eclipse (Field-Tested),200.62,730
★ Flip Knife | Autotronic (Battle-Scarred),198.87,730
★ Bayonet | Night (Field-Tested),197.88,730
Mace of Aeons,197.08,570
★ Bayonet | Forest DDPAT (Minimal Wear),194.7,730
★ Gut Knife | Gamma Doppler Phase 4 (Factory New),194.7,730
★ Bayonet | Ultraviolet (Field-Tested),192.82,730
★ StatTrak™ Shadow Daggers | Marble Fade (Factory New),191.04,730
Genuine Golden Trove Cask,189.36,570
AWP | Graphite (Factory New),187.01,730
★ Specialist Gloves | Mogul (Battle-Scarred),186.9,730
★ Broken Fang Gloves | Unhinged (Minimal Wear),186.2,730
★ Classic Knife | Case Hardened (Well-Worn),186.2,730
★ Classic Knife | Case Hardened (Well-Worn),186.2,730
★ Driver Gloves | Lunar Weave (Field-Tested),184.5,730
★ StatTrak™ Huntsman Knife | Damascus Steel (Factory New),184.01,730
★ Sport Gloves | Bronze Morph (Well-Worn),183.85,730
SSG 08 | Death Strike (Field-Tested),181.54,730
SSG 08 | Death Strike (Field-Tested),181.54,730
SSG 08 | Death Strike (Field-Tested),181.54,730
SSG 08 | Death Strike (Field-Tested),181.54,730
★ Gut Knife | Gamma Doppler Phase 3 (Factory New),181.4,730
★ Gut Knife | Gamma Doppler Phase 1 (Factory New),181.35,730
M4A1-S | Printstream (Minimal Wear),180.03,730
★ Driver Gloves | Lunar Weave (Field-Tested),179.13,730
★ Driver Gloves | Lunar Weave (Field-Tested),179.13,730
★ Driver Gloves | Lunar Weave (Field-Tested),179.13,730
★ StatTrak™ Navaja Knife | Marble Fade (Factory New),177.99,730
USP-S | Whiteout (Factory New),176.69,730
★ StatTrak™ Bowie Knife | Black Laminate (Minimal Wear),176.5,730
★ Huntsman Knife | Black Laminate (Field-Tested),175.46,730
★ StatTrak™ Flip Knife | Stained (Minimal Wear),174.82,730
★ Ursus Knife | Ultraviolet (Field-Tested),174.82,730
★ Ursus Knife | Ultraviolet (Field-Tested),174.82,730
★ Ursus Knife | Ultraviolet (Field-Tested),174.82,730
★ Ursus Knife | Ultraviolet (Field-Tested),174.82,730
★ Bayonet | Ultraviolet (Well-Worn),174.76,730
★ Bayonet | Forest DDPAT (Field-Tested),174.73,730
★ Flip Knife | Bright Water (Field-Tested),174.66,730
★ Falchion Knife | Autotronic (Field-Tested),173.91,730
★ Flip Knife | Black Laminate (Field-Tested),169.97,730
★ Flip Knife | Black Laminate (Field-Tested),169.97,730
★ Stiletto Knife | Blue Steel (Field-Tested),166.88,730
★ StatTrak™ Classic Knife | Stained (Minimal Wear),164.54,730
★ Navaja Knife | Fade (Factory New),163.87,730
★ Navaja Knife | Doppler Phase 2 (Factory New),163.05,730
AK-47 | Fuel Injector (Minimal Wear),162.52,730
★ Flip Knife | Case Hardened (Battle-Scarred),161.65,730
★ Shadow Daggers | Marble Fade (Minimal Wear),161.52,730
★ Navaja Knife | Doppler Phase 1 (Factory New),161.19,730
★ Gut Knife | Black Laminate (Factory New),160.23,730
★ Shadow Daggers | Marble Fade (Factory New),159.2,730
★ Falchion Knife | Autotronic (Battle-Scarred),159.06,730
★ Falchion Knife | Slaughter (Field-Tested),159.02,730
Glowing Skull,157.88,252490
AK-47 | Fuel Injector (Minimal Wear),157.79,730
★ StatTrak™ Ursus Knife | Blue Steel (Minimal Wear),157.23,730
★ Navaja Knife | Marble Fade (Factory New),156.49,730
★ Navaja Knife | Marble Fade (Factory New),156.49,730
★ Navaja Knife | Marble Fade (Factory New),156.49,730
★ Navaja Knife | Marble Fade (Factory New),156.49,730
★ Navaja Knife | Marble Fade (Factory New),156.49,730
★ Flip Knife | Ultraviolet (Field-Tested),156.09,730
★ Shadow Daggers | Marble Fade (Factory New),154.56,730
★ Shadow Daggers | Marble Fade (Factory New),154.56,730
★ Moto Gloves | Turtle (Battle-Scarred),154.07,730
StatTrak™ M4A4 | Neo-Noir (Factory New),153.63,730
StatTrak™ M4A4 | Neo-Noir (Factory New),153.63,730
★ Gut Knife | Doppler Phase 3 (Factory New),153.58,730
★ Gut Knife | Lore (Field-Tested),153.01,730
★ Huntsman Knife | Freehand (Minimal Wear),152.95,730
AK-47 | Case Hardened (Field-Tested),152.85,730
AK-47 | Case Hardened (Field-Tested),152.85,730
★ Navaja Knife | Marble Fade (Factory New),152.09,730
StatTrak™ AK-47 | Nightwish (Field-Tested),151.16,730
★ Shadow Daggers | Slaughter (Factory New),150.69,730
Desert Eagle | Emerald Jörmungandr (Field-Tested),150.64,730
★ StatTrak™ Classic Knife | Scorched (Minimal Wear),149.95,730
★ Gut Knife | Doppler Phase 4 (Factory New),149.85,730
Nemestice Emblem 2021,147.95,570
★ Falchion Knife | Case Hardened (Field-Tested),145.62,730
Plate Carrier - Black,145.22,252490
Plate Carrier - Black,145.22,252490
★ Bowie Knife,145.11,730
★ Flip Knife | Rust Coat (Battle-Scarred),144.96,730
★ Driver Gloves | Queen Jaguar (Field-Tested),144.86,730
★ Driver Gloves | Convoy (Minimal Wear),144,730
★ Driver Gloves | Rezan the Red (Field-Tested),143.19,730
StatTrak™ AWP | Redline (Minimal Wear),142.04,730
AK-47 | Vulcan (Field-Tested),141.62,730
AK-47 | Vulcan (Field-Tested),141.62,730
AK-47 | Vulcan (Field-Tested),141.62,730
★ Classic Knife | Night Stripe (Field-Tested),141.22,730
★ Huntsman Knife | Damascus Steel (Minimal Wear),140.52,730
M4A4 | The Coalition (Factory New),140,730
★ Falchion Knife | Freehand (Field-Tested),139.41,730
★ Driver Gloves | Rezan the Red (Field-Tested),139.02,730
Weapon of the Ardalan Interdictor,138.86,570
★ Hand Wraps | Duct Tape (Minimal Wear),138.21,730
★ StatTrak™ Shadow Daggers | Freehand (Factory New),138.21,730
★ StatTrak™ Falchion Knife | Boreal Forest (Minimal Wear),138.06,730
Desert Eagle | Printstream (Factory New),137.87,730
★ Navaja Knife | Slaughter (Factory New),137.74,730
★ Paracord Knife | Stained (Well-Worn),136.97,730
Unusual Baby Roshan,136.87,570
★ Shadow Daggers | Tiger Tooth (Factory New),136.75,730
★ Shadow Daggers | Tiger Tooth (Factory New),136.75,730
★ Stiletto Knife | Ultraviolet (Battle-Scarred),134.3,730
★ Stiletto Knife | Ultraviolet (Battle-Scarred),134.3,730
★ StatTrak™ Navaja Knife | Tiger Tooth (Factory New),133.86,730
★ Classic Knife | Stained (Well-Worn),133.84,730
★ Gut Knife | Bright Water (Factory New),133.64,730
★ Bowie Knife | Bright Water (Field-Tested),132.64,730
★ StatTrak™ Bowie Knife | Ultraviolet (Field-Tested),132.33,730
★ Ursus Knife | Damascus Steel (Field-Tested),131.83,730
★ Ursus Knife | Damascus Steel (Field-Tested),131.83,730
★ Huntsman Knife | Blue Steel (Field-Tested),131.73,730
★ Falchion Knife | Damascus Steel (Field-Tested),131.59,730
★ Falchion Knife | Damascus Steel (Field-Tested),131.59,730
★ Bowie Knife | Bright Water (Minimal Wear),130.56,730
★ Gut Knife | Slaughter (Minimal Wear),130.47,730
★ Survival Knife | Night Stripe (Field-Tested),129.97,730
★ Flip Knife | Forest DDPAT (Field-Tested),129.63,730
★ Huntsman Knife | Freehand (Field-Tested),129.52,730
★ Classic Knife | Boreal Forest (Field-Tested),128.82,730
★ Ursus Knife | Blue Steel (Well-Worn),127.22,730
★ Survival Knife | Blue Steel (Well-Worn),127.13,730
★ Survival Knife | Night Stripe (Field-Tested),126.18,730
USP-S | Target Acquired (Minimal Wear),125.53,730
★ Nomad Knife | Forest DDPAT (Battle-Scarred),125.3,730
★ Classic Knife | Boreal Forest (Field-Tested),125.07,730
AK-47 | Neon Rider (Factory New),123.33,730
AK-47 | Neon Rider (Factory New),123.33,730
★ Ursus Knife | Urban Masked (Field-Tested),123.12,730
★ Ursus Knife | Urban Masked (Field-Tested),123.12,730
AWP | Containment Breach (Minimal Wear),122.81,730
★ Navaja Knife | Tiger Tooth (Factory New),122.17,730
AWP | Asiimov (Field-Tested),121.13,730
AWP | Asiimov (Field-Tested),121.13,730
★ Navaja Knife | Tiger Tooth (Factory New),120.74,730
★ Navaja Knife | Tiger Tooth (Factory New),120.74,730
★ Navaja Knife | Tiger Tooth (Factory New),120.74,730
★ Ursus Knife | Stained (Well-Worn),120.61,730
StatTrak™ Desert Eagle | Printstream (Field-Tested),120.6,730
StatTrak™ Desert Eagle | Golden Koi (Factory New),120.56,730
★ Nomad Knife | Safari Mesh (Battle-Scarred),120.52,730
AK-47 | Case Hardened (Well-Worn),119.91,730
★ StatTrak™ Gut Knife | Bright Water (Minimal Wear),119.88,730
★ Falchion Knife | Black Laminate (Minimal Wear),119.52,730
AWP | Containment Breach (Minimal Wear),119.23,730
AWP | Containment Breach (Minimal Wear),119.23,730
AWP | Containment Breach (Minimal Wear),119.23,730
AWP | Containment Breach (Minimal Wear),119.23,730
AWP | Containment Breach (Minimal Wear),119.23,730
★ StatTrak™ Falchion Knife | Ultraviolet (Field-Tested),118.73,730
★ Ursus Knife | Rust Coat (Battle-Scarred),118.61,730
★ Ursus Knife | Rust Coat (Battle-Scarred),118.61,730
★ Ursus Knife | Rust Coat (Battle-Scarred),118.61,730
★ Ursus Knife | Rust Coat (Battle-Scarred),118.61,730
StatTrak™ M4A1-S | Hyper Beast (Minimal Wear),118.59,730
★ Huntsman Knife | Stained (Minimal Wear),118.5,730
★ Bowie Knife | Ultraviolet (Field-Tested),118.2,730
★ Bowie Knife | Ultraviolet (Field-Tested),118.2,730
★ Navaja Knife | Tiger Tooth (Factory New),117.22,730
★ Navaja Knife | Tiger Tooth (Factory New),117.22,730
StatTrak™ Desert Eagle | Printstream (Field-Tested),117.09,730
★ Bloodhound Gloves | Charred (Field-Tested),117,730
★ Stiletto Knife | Boreal Forest (Field-Tested),116.53,730
AK-47 | Fuel Injector (Field-Tested),115.99,730
AK-47 | Fuel Injector (Field-Tested),115.99,730
★ Stiletto Knife | Scorched (Field-Tested),115.95,730
★ Stiletto Knife | Scorched (Field-Tested),115.95,730
★ Stiletto Knife | Scorched (Field-Tested),115.95,730
★ Navaja Knife | Slaughter (Minimal Wear),115.78,730
★ Hand Wraps | Arboreal (Field-Tested),115.55,730
M4A1-S | Hyper Beast (Factory New),115.32,730
★ Gut Knife | Case Hardened (Field-Tested),115.19,730
★ Ursus Knife | Rust Coat (Battle-Scarred),115.16,730
★ Bowie Knife | Ultraviolet (Well-Worn),115.08,730
USP-S | Target Acquired (Field-Tested),114.56,730
★ Classic Knife | Urban Masked (Field-Tested),114.51,730
StatTrak™ USP-S | Orion (Factory New),114.15,730
