name,price
Unusual Hermid,2.26
Tines of Tybara,2.25
Tines of Tybara,2.25
Piston Impaler,2.24
Piston Impaler,2.24
Bindings of the Spiteful Djinn,2.21
Bindings of the Spiteful Djinn,2.21
Mega-Kills: Darkest Dungeon (ft. Wayne June),2.21
Taunt: Skip to the Good Stuff!,2.2
Taunt: Skip to the Good Stuff!,2.2
Complete Spaulders of the Psion Inquisitor,2.18
Genuine Braze the Zonkey,2.17
Plating of the Netherswarm Vanguard,2.16
Arena Champion Armor,2.15
Gambits of Nishai,2.15
Hellborn Grasp,2.14
Hellborn Grasp,2.14
Hidden Vector - Belt,2.14
Helm of Madness,2.13
Infused Mantle of the Blackguard Magus,2.13
Contessa's Creed,2.1
Hidden Vector - Belt,2.08
Razzil's Midas Knuckles,2.05
Razzil's Midas Knuckles,2.05
Menace of the Forlorn Maze,2.04
Inscribed Hydrakan Latch,2.03
Genuine Splattering Forcipule,2.02
Candy Cat,1.99
Candy Cat,1.99
Hydrakan Latch,1.99
Hydrakan Latch,1.99
Inscribed Mane of the Sunwarrior,1.99
Inscribed Mace of the Chosen,1.97
Bonkers of Awaleb,1.95
Hydrakan Latch,1.93
Inscribed Razzil's Midas Knuckles,1.93
Mask of the Forgotten Plane,1.92
Mask of the Forgotten Plane,1.92
Mask of the Hunt Eternal,1.92
Bearer of the Arkturan Talon,1.87
Bearer of the Arkturan Talon,1.87
Crazed Tassels of the Black Death,1.87
Sapphire Sabre-Lynx,1.87
Geodesic Eidolon,1.86
Geodesic Eidolon,1.86
Aghanim's Basher,1.85
Golden Piscean Pulverizer,1.85
Genuine Winterblight,1.83
Kinetic: Twister,1.83
Paraflare Cannon,1.82
Stoutheart Growler,1.82
Bronzemonster of the Wailing Inferno,1.77
Pike of the Honored Servant of the Empire,1.77
Solar Forge,1.77
Solar Forge,1.77
Blood Shard,1.74
Blood Shard,1.74
Shadows of Ravensmane,1.74
Twin Blades Assassin,1.74
Alluvion Prophecy,1.73
Alluvion Prophecy,1.73
Bearing of the King Restored Style Unlock,1.73
Inscribed The Lightning Orchid,1.72
Honor of the Temple of the Fallen Sun,1.71
Inscribed Crazed Tassels of the Black Death,1.71
Claws of the Ferocious Heart,1.7
Claws of the Ferocious Heart,1.7
Cape of Rising Fury,1.69
Autographed Alluvion Prophecy,1.68
Inscribed The Lightning Orchid,1.67
Inscribed The Lightning Orchid,1.67
Wolves of the Blood Moon,1.67
Inscribed Crazed Tassels of the Black Death,1.66
Inscribed Gleaming Seal,1.66
Mandate of the Stormborn,1.66
Mandate of the Stormborn,1.66
Unusual Wicked Greevil,1.66
Prismatic: Ships in the Night,1.62
Inscribed Paraflare Cannon,1.61
Mandate of the Stormborn,1.61
Golden Bloodfeather Feast,1.59
Golden Bloodfeather Feast,1.59
Darkfall,1.58
Pauldrons of Vile Reliquary,1.58
Taunt: Come and Get It!,1.58
Lady of the Lumini Polare,1.57
Bane of the Deathstalkers - Weapon,1.56
Gleaming Seal,1.56
Hat of the Itinerant Scholar,1.56
Moonfall,1.56
Mantle of the Whispered Bond,1.51
Moonfall,1.51
Wandering Harlequin's Regalia,1.5
Auspicious Wyvernguard Edge,1.48
Head of the Sea Djinn,1.48
Prismatic: Miasmatic Grey,1.48
Taunt: Bathed in the Glow,1.48
Crown of the Merqueen,1.46
Taunt: Raging Bull,1.46
Taunt: Raging Bull,1.46
Taunt: Thorns and All,1.45
Taunt: Thorns and All,1.45
Call of the Nether Lotus,1.44
Bracers of the Cavern Luminar,1.42
Bracers of the Cavern Luminar,1.42
Iron Surge,1.42
Iron Surge,1.42
Kinetic: Mark of the Divine Anchor,1.42
Kinetic: Mark of the Divine Anchor,1.42
The Summit 3 Cursor Pack,1.42
Tail of Elder Convergence,1.38
Tidosaurus Vertebral Plates,1.37
Raiments of the Sacrosanct,1.36
Inscribed Iron Surge,1.35
Huntling,1.34
Swine Arsenal,1.33
Swine Arsenal,1.33
Genuine Chieftain Axes of the Chaos Wastes,1.32
Hidden Flower,1.32
Inscribed Moonfall,1.31
Revival of the Ice Witch,1.31
Stone Seer,1.31
Ethereal: Champion's Aura 2013,1.29
Genuine The Barb of Skadi,1.28
Genuine The Barb of Skadi,1.28
Yulsaria's Glacier,1.28
Blackshield Protodrone Missile Launcher,1.27
Genuine Nightsilver Gryphon,1.27
Inscribed Moonfall,1.27
Jewel of Aeons,1.27
Jewel of Aeons,1.27
Belt of the Jade General,1.26
Inscribed Golden Edge of the Lost Order,1.26
Sinister Shadow,1.25
Sinister Shadow,1.25
Genuine The Barb of Skadi,1.24
Wrath of Ka,1.23
Call of the Bladeform Legacy,1.22
Mask of Zebulon,1.22
Darktrench Stalker - Arms,1.21
Ice Blossom,1.19
Primal Paean,1.19
Primal Paean,1.19
Sylvan Cascade,1.19
Sylvan Cascade,1.19
Flight of the Undying Light,1.18
Inscribed Yulsaria's Glacier,1.18
Inscribed Jewel of Aeons,1.17
Inscribed Jewel of Aeons,1.17
Legs of the Honored Servant of the Empire,1.17
Golden Edge of the Lost Order,1.16
Golden Edge of the Lost Order,1.16
Ice Blossom,1.16
Inscribed Sylvan Cascade,1.16
Trust of the Benefactor 2019,1.16
Trust of the Benefactor 2019,1.16
Fluttering Mortis,1.15
Peregrine Flight,1.15
Span of the Temple of the Fallen Sun,1.15
Whispers of the Damned Wings,1.15
Announcer: Monkey King,1.14
Inscribed Sylvan Cascade,1.13
Daughters of Hydrophiinae,1.12
Daughters of Hydrophiinae,1.12
Peregrine Flight,1.12
Peregrine Flight,1.12
Autographed Primal Paean,1.11
Blackshield Protodrone Armor,1.11
Blackshield Protodrone Armor,1.11
Immortal Treasure III 2018,1.11
Taunt: Doom Shreds,1.11
Genuine Crest of the Wyrm Lords,1.1
Genuine Supreme Belt of the Warboss,1.1
Scabbards of the Stormcharge Dragoon,1.1
Orb of Deliverance,1.09
Orb of Deliverance,1.09
Frostheart,1.08
Immortal Treasure III 2018,1.08
Taunt: Doom Shreds,1.08
Inscribed Orb of Deliverance,1.07
Shade of the Spiteful Eye,1.07
Immortal Treasure I 2018,1.06
Immortal Treasure I 2018,1.06
Leg Talons of Madness,1.06
Taunt: Deadly Grace,1.06
Gravelmaw,1.05
Gravelmaw,1.05
Kinetic: Tidebringer of the Divine Anchor,1.05
Kinetic: Tidebringer of the Divine Anchor,1.05
Taunt: Fight Me!,1.05
Atomic Ray Thrusters,1.04
Atomic Ray Thrusters,1.04
Severing Lash,1.04
Taunt: Fight Me!,1.02
Stone Infusion,0.97
Blade of Reckless Vigor,0.94
Shock of the Anvil,0.94
Offhand Basher of Mage Skulls,0.93
Bindings of the Galvanized Spark,0.92
Monarch of the Sapphire Glen,0.92
Monarch of the Sapphire Glen,0.92
Artificer's Chisel,0.91
Artificer's Chisel,0.91
Artificer's Chisel,0.91
Artificer's Chisel,0.91
Artificer's Chisel,0.91
Artificer's Chisel,0.91
Artificer's Chisel,0.91
Artificer's Chisel,0.91
Artificer's Chisel,0.91
Artificer's Chisel,0.91
Artificer's Chisel,0.91
Artificer's Chisel,0.91
Artificer's Chisel,0.91
Artificer's Chisel,0.91
Artificer's Chisel,0.91
Artificer's Chisel,0.91
Artificer's Chisel,0.91
Artificer's Chisel,0.91
Artificer's Chisel,0.91
Artificer's Chisel,0.91
Artificer's Chisel,0.91
Artificer's Chisel,0.91
Artificer's Chisel,0.91
Artificer's Chisel,0.91
Artificer's Chisel,0.91
Artificer's Chisel,0.91
Artificer's Chisel,0.91
Artificer's Chisel,0.91
Artificer's Chisel,0.91
Artificer's Chisel,0.91
Artificer's Chisel,0.91
Artificer's Chisel,0.91
Artificer's Chisel,0.91
Artificer's Chisel,0.91
Artificer's Chisel,0.91
Artificer's Chisel,0.91
Artificer's Chisel,0.91
Artificer's Chisel,0.91
Artificer's Chisel,0.91
Artificer's Chisel,0.91
Artificer's Chisel,0.91
Artificer's Chisel,0.91
Artificer's Chisel,0.91
Artificer's Chisel,0.91
Artificer's Chisel,0.91
Artificer's Chisel,0.91
Artificer's Chisel,0.91
Inscribed Monarch of the Sapphire Glen,0.91
Autographed The Barren Crown,0.9
Basher of Mage Skulls,0.9
Basher of Mage Skulls,0.9
Hide of the Crystal Drift,0.9
Offhand Basher of Mage Skulls,0.9
Taunt: Not Just Your Average Bear,0.9
Monarch of the Sapphire Glen,0.89
Shoulders of the Wild West,0.89
Sigil of the Spiteful Eye,0.88
Artificer's Hammer,0.87
Artificer's Hammer,0.87
Artificer's Hammer,0.87
Artificer's Hammer,0.87
Artificer's Hammer,0.87
Artificer's Hammer,0.87
Artificer's Hammer,0.87
Artificer's Hammer,0.87
Artificer's Hammer,0.87
Artificer's Hammer,0.87
Artificer's Hammer,0.87
Artificer's Hammer,0.87
Artificer's Hammer,0.87
Artificer's Hammer,0.87
Artificer's Hammer,0.87
Artificer's Hammer,0.87
Artificer's Hammer,0.87
Artificer's Hammer,0.87
Artificer's Hammer,0.87
Artificer's Hammer,0.87
